2025-04-22 00:58:43,488 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3463 bytes
2025-04-22 00:58:44,028 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3491 bytes
2025-04-22 00:58:44,552 - workload_generator - INFO - Throughput: 897.46 msgs/sec, 2.99 MB/sec
2025-04-22 00:58:44,553 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3508 bytes
2025-04-22 00:58:45,086 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3411 bytes
2025-04-22 00:58:45,617 - workload_generator - INFO - Throughput: 898.79 msgs/sec, 3.00 MB/sec
2025-04-22 00:58:45,617 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3575 bytes
2025-04-22 00:58:46,149 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3514 bytes
2025-04-22 00:58:46,659 - workload_generator - INFO - Throughput: 900.63 msgs/sec, 3.00 MB/sec
2025-04-22 00:58:46,659 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3470 bytes
2025-04-22 00:58:47,203 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3533 bytes
2025-04-22 00:58:47,732 - workload_generator - INFO - Throughput: 901.57 msgs/sec, 3.01 MB/sec
2025-04-22 00:58:47,733 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3471 bytes
2025-04-22 00:58:48,271 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3533 bytes
2025-04-22 00:58:48,799 - workload_generator - INFO - Throughput: 902.61 msgs/sec, 3.01 MB/sec
2025-04-22 00:58:48,800 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3498 bytes
2025-04-22 00:58:49,410 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3538 bytes
2025-04-22 00:58:49,912 - workload_generator - INFO - Throughput: 902.49 msgs/sec, 3.01 MB/sec
